County, FIPS,Value (Dollars),Rank within US (of 3141 counties)
"Gordon County, Georgia",13129,46083,"2,573"
"Pendleton County, West Virginia",54071,46091,"2,572"
"Miller County, Missouri",29131,46093,"2,571"
"El Paso County, Texas",48141,46096,"2,570"
"Carroll County, Tennessee",47017,46111,"2,569"
"Carter County, Missouri",29035,46116,"2,568"
"Madison County, Texas",48313,46137,"2,567"
"Benewah County, Idaho",16009,46139,"2,566"
"Graham County, North Carolina",37075,46140,"2,565"
"Darlington County, South Carolina",45031,46146,"2,564"
"Wayne County, Utah",49055,46154,"2,563"
"Baxter County, Arkansas",5005,46178,"2,562"
"Shelby County, Texas",48419,46187,"2,561"
"Upson County, Georgia",13293,46191,"2,560"
"Luce County, Michigan",26095,46194,"2,559"
"Toombs County, Georgia",13279,46240,"2,558"
"Warren County, North Carolina",37185,46250,"2,557"
"Christian County, Kentucky",21047,46255,"2,556"
"Sevier County, Arkansas",5133,46261,"2,555"
"Barton County, Missouri",29011,46262,"2,554"
"Boone County, Arkansas",5009,46267,"2,553"
"Mohave County, Arizona",4015,46268,"2,552"
"Mercer County, West Virginia",54055,46277,"2,551"
"Arkansas County, Arkansas",5001,46282,"2,550"
"Grenada County, Mississippi",28043,46316,"2,549"
"St. Louis City, Missouri",29510,46334,"2,548"
"Martin County, North Carolina",37117,46342,"2,546"
"Taney County, Missouri",29213,46342,"2,546"
"Crittenden County, Arkansas",5035,46349,"2,545"
"Mackinac County, Michigan",26097,46354,"2,544"
"McIntosh County, Oklahoma",40091,46359,"2,543"
"Jasper County, Georgia",13159,46394,"2,541"
"Pike County, Ohio",39131,46394,"2,541"
"Chowan County, North Carolina",37041,46401,"2,540"
"Clarke County, Mississippi",28023,46406,"2,539"
"Liberty County, Georgia",13179,46414,"2,538"
"Hardy County, West Virginia",54031,46422,"2,537"
"Bennett County, South Dakota",46007,46429,"2,536"
"Arenac County, Michigan",26011,46436,"2,535"
"Josephine County, Oregon",41033,46452,"2,534"
"Wheeler County, Oregon",41069,46458,"2,533"
"Bee County, Texas",48025,46496,"2,532"
"Washington County, Maine",23029,46499,"2,531"
"Decatur County, Tennessee",47039,46500,"2,530"
"Potter County, Texas",48375,46529,"2,529"
"Hamblen County, Tennessee",47063,46537,"2,528"
"Covington City, Virginia",51580,46541,"2,527"
"Martinsville City, Virginia",51690,46565,"2,526"
"Dallas County, Arkansas",5039,46578,"2,525"
"Limestone County, Texas",48293,46626,"2,524"
"Randolph County, Alabama",1111,46633,"2,523"
"Scott County, Virginia",51169,46636,"2,522"
"Colfax County, New Mexico",35007,46643,"2,521"
"Cross County, Arkansas",5037,46645,"2,520"
"Linn County, Missouri",29115,46649,"2,519"
"Kleberg County, Texas",48273,46650,"2,518"
"Hart County, Georgia",13147,46670,"2,517"
"Green County, Kentucky",21087,46674,"2,516"
"Idaho County, Idaho",16049,46681,"2,515"
"Calhoun County, Arkansas",5013,46688,"2,514"
"Lynn County, Texas",48305,46691,"2,513"
"Yadkin County, North Carolina",37197,46704,"2,512"
"Avery County, North Carolina",37011,46707,"2,511"
"Clearwater County, Idaho",16035,46713,"2,510"
"Dallam County, Texas",48111,46715,"2,509"
"Pike County, Alabama",1109,46716,"2,508"
"Montgomery County, Kentucky",21173,46729,"2,507"
"Morgan County, Ohio",39115,46735,"2,506"
"Texas County, Missouri",29215,46775,"2,505"
"Merced County, California",6047,46793,"2,504"
"St. Bernard Parish, Louisiana",22087,46804,"2,503"
"Summers County, West Virginia",54089,46814,"2,502"
"Wayne County, West Virginia",54099,46827,"2,501"
"Acadia Parish, Louisiana",22001,46837,"2,500"
"Uvalde County, Texas",48463,46839,"2,499"
"Blackford County, Indiana",18009,46840,"2,498"
"Swain County, North Carolina",37173,46841,"2,497"
"Philadelphia County, Pennsylvania",42101,46864,"2,496"
"West Carroll Parish, Louisiana",22123,46892,"2,495"
"Osceola County, Michigan",26133,46896,"2,494"
"Logan County, West Virginia",54045,46928,"2,493"
"Shannon County, Missouri",29203,46935,"2,492"
"McCulloch County, Texas",48307,46938,"2,491"
"Webster County, Mississippi",28155,46942,"2,490"
"Somerset County, Maryland",24039,46947,"2,489"
"Power County, Idaho",16077,46962,"2,488"
"Monroe County, Mississippi",28095,46979,"2,486"
"Nicholas County, Kentucky",21181,46979,"2,486"
"Warren County, Tennessee",47177,47001,"2,485"
"Scott County, Missouri",29201,47015,"2,484"
"Vinton County, Ohio",39163,47028,"2,483"
"Iron County, Michigan",26071,47031,"2,482"
"Henry County, Tennessee",47079,47035,"2,481"
"Walker County, Alabama",1127,47069,"2,480"
"Houston County, Tennessee",47083,47072,"2,479"
"Washington County, Georgia",13303,47091,"2,478"
"Choctaw County, Alabama",1023,47112,"2,477"
"Wyandotte County, Kansas",20209,47117,"2,476"
"Piscataquis County, Maine",23021,47132,"2,475"
"Meigs County, Ohio",39105,47166,"2,474"
"Clarke County, Alabama",1025,47168,"2,473"
"Lawrence County, Tennessee",47099,47202,"2,472"
"Mason County, Kentucky",21161,47206,"2,471"
"Johnston County, Oklahoma",40069,47218,"2,470"
"Montgomery County, North Carolina",37123,47226,"2,469"
"Little River County, Arkansas",5081,47237,"2,468"
"Lake County, California",6033,47238,"2,467"
"Hale County, Texas",48189,47244,"2,466"
"Delaware County, Oklahoma",40041,47255,"2,465"
"Thurston County, Nebraska",31173,47257,"2,464"
"Forrest County, Mississippi",28035,47268,"2,463"
"Wyoming County, West Virginia",54109,47273,"2,462"
"Rusk County, Wisconsin",55107,47275,"2,461"
"Rhea County, Tennessee",47143,47278,"2,460"
"Caldwell Parish, Louisiana",22021,47321,"2,459"
"Gila County, Arizona",4007,47335,"2,458"
"Tift County, Georgia",13277,47346,"2,457"
"Union Parish, Louisiana",22111,47372,"2,456"
"Smith County, Mississippi",28129,47375,"2,455"
"Red River Parish, Louisiana",22081,47386,"2,454"
"Rabun County, Georgia",13241,47391,"2,453"
"Nolan County, Texas",48353,47445,"2,452"
"Hawkins County, Tennessee",47073,47450,"2,451"
"Cherokee County, Texas",48073,47457,"2,450"
"Gladwin County, Michigan",26051,47467,"2,449"
"Marion County, Kentucky",21155,47473,"2,448"
"Barren County, Kentucky",21009,47480,"2,447"
"Marion County, Texas",48315,47482,"2,446"
"Otero County, New Mexico",35035,47489,"2,445"
"Lamb County, Texas",48279,47500,"2,444"
"Alcona County, Michigan",26001,47514,"2,443"
"Fayette County, Indiana",18041,47515,"2,442"
"Marshall County, Oklahoma",40095,47525,"2,441"
"Larue County, Kentucky",21123,47527,"2,440"
"Craig County, Oklahoma",40035,47574,"2,439"
"Braxton County, West Virginia",54007,47583,"2,438"
"Rockingham County, North Carolina",37157,47610,"2,437"
"Geary County, Kansas",20061,47636,"2,436"
"Keya Paha County, Nebraska",31103,47639,"2,435"
"Prowers County, Colorado",8099,47641,"2,434"
"Towns County, Georgia",13281,47656,"2,433"
"Smyth County, Virginia",51173,47666,"2,432"
"Hughes County, Oklahoma",40063,47689,"2,431"
"Cheboygan County, Michigan",26031,47717,"2,430"
"Lunenburg County, Virginia",51111,47737,"2,429"
"Hinds County, Mississippi",28049,47739,"2,428"
"Kalkaska County, Michigan",26079,47742,"2,427"
"Macon County, North Carolina",37113,47746,"2,426"
"Harding County, New Mexico",35021,47750,"2,425"
"Highland County, Ohio",39071,47764,"2,424"
"Big Horn County, Montana",30003,47773,"2,423"
"Lincoln County, Tennessee",47103,47790,"2,422"
"Whitfield County, Georgia",13313,47803,"2,421"
"Caldwell County, North Carolina",37027,47815,"2,420"
"Schoolcraft County, Michigan",26153,47816,"2,419"
"Newton County, Texas",48351,47827,"2,418"
"Citrus County, Florida",12017,47829,"2,417"
"Modoc County, California",6049,47838,"2,416"
"Jackson County, South Dakota",46071,47857,"2,413"
"Sullivan County, Missouri",29211,47857,"2,413"
"Webster County, Georgia",13307,47857,"2,413"
"Lauderdale County, Mississippi",28075,47861,"2,412"
"Garfield County, Utah",49017,47865,"2,411"
"Cass County, Texas",48067,47871,"2,410"
"Logan County, Kentucky",21141,47879,"2,409"
"Henderson County, Tennessee",47077,47885,"2,408"
"Alpena County, Michigan",26007,47889,"2,407"
"White County, Georgia",13311,47894,"2,406"
"Lawrence County, Missouri",29109,47904,"2,405"
"Gibson County, Tennessee",47053,47933,"2,404"
"Bedford County, Tennessee",47003,47941,"2,403"
"Osceola County, Florida",12097,47952,"2,402"
"Shoshone County, Idaho",16079,47953,"2,401"
"Carroll County, Kentucky",21041,47989,"2,400"
"Nowata County, Oklahoma",40105,47993,"2,399"
"Monroe County, Ohio",39111,48000,"2,398"
"Obion County, Tennessee",47131,48020,"2,397"
"Washington County, Alabama",1129,48031,"2,396"
"Yukon-Koyukuk Census Area, Alaska",2290,48036,"2,395"
"Russell County, Virginia",51167,48040,"2,394"
"Hot Spring County, Arkansas",5059,48068,"2,393"
"Coos County, Oregon",41011,48080,"2,392"
"Putnam County, Tennessee",47141,48106,"2,391"
"Caswell County, North Carolina",37033,48125,"2,390"
"Marion County, Florida",12083,48128,"2,389"
"Grant County, West Virginia",54023,48133,"2,388"
"Gem County, Idaho",16045,48138,"2,385"
"Marshall County, Alabama",1095,48138,"2,385"
"Wilson County, North Carolina",37195,48138,"2,385"
"Pierce County, Georgia",13229,48180,"2,384"
"Wise County, Virginia",51195,48187,"2,383"
"Cullman County, Alabama",1043,48200,"2,382"
"Grant County, Nebraska",31075,48214,"2,381"
"Bollinger County, Missouri",29017,48266,"2,380"
"Nome Census Area, Alaska",2180,48273,"2,379"
"Crawford County, Arkansas",5033,48279,"2,378"
"Orange County, Indiana",18117,48281,"2,377"
"Greenbrier County, West Virginia",54025,48287,"2,376"
"Greene County, North Carolina",37079,48294,"2,375"
"Jerome County, Idaho",16053,48336,"2,374"
"Jefferson County, Arkansas",5069,48337,"2,373"
"Missaukee County, Michigan",26113,48372,"2,372"
"Morris County, Texas",48343,48378,"2,371"
"Switzerland County, Indiana",18155,48384,"2,370"
"Lowndes County, Georgia",13185,48391,"2,369"
"Swisher County, Texas",48437,48413,"2,368"
"Elk County, Kansas",20049,48424,"2,367"
"Gallia County, Ohio",39053,48426,"2,366"
"Grant County, New Mexico",35017,48428,"2,365"
"Palo Pinto County, Texas",48363,48445,"2,364"
"Muhlenberg County, Kentucky",21177,48522,"2,363"
"Harrison County, Kentucky",21097,48526,"2,362"
"Union County, Kentucky",21225,48538,"2,361"
"Bacon County, Georgia",13005,48555,"2,360"
"Okanogan County, Washington",53047,48567,"2,359"
"Floyd County, Texas",48153,48569,"2,358"
"Klamath County, Oregon",41035,48570,"2,357"
"Chouteau County, Montana",30015,48583,"2,356"
"Meagher County, Montana",30059,48607,"2,354"
"St. Francois County, Missouri",29187,48607,"2,354"
"Conejos County, Colorado",8021,48616,"2,353"
"Franklin County, Florida",12037,48621,"2,352"
"Crawford County, Georgia",13079,48632,"2,351"
"Vernon County, Missouri",29217,48655,"2,350"
"Hickman County, Kentucky",21105,48661,"2,349"
"Tehama County, California",6103,48662,"2,348"
"Polk County, Georgia",13233,48680,"2,347"
"Wayne County, Georgia",13305,48706,"2,346"
"Lanier County, Georgia",13173,48713,"2,345"
"Wetzel County, West Virginia",54103,48724,"2,344"
"Butte County, Idaho",16023,48750,"2,341"
"DeBaca County, New Mexico",35011,48750,"2,341"
"Prairie County, Montana",30079,48750,"2,341"
"Cleburne County, Alabama",1029,48761,"2,340"
"Saline County, Missouri",29195,48778,"2,339"
"Hernando County, Florida",12053,48785,"2,338"
"Nicholas County, West Virginia",54067,48821,"2,337"
"Cloud County, Kansas",20029,48841,"2,336"
"Barry County, Missouri",29009,48854,"2,335"
"Gilmer County, Georgia",13123,48856,"2,333"
"Gooding County, Idaho",16047,48856,"2,333"
"Gallatin County, Illinois",17059,48868,"2,332"
"Spalding County, Georgia",13255,48886,"2,331"
"Malheur County, Oregon",41045,48890,"2,330"
"Baldwin County, Georgia",13009,48893,"2,329"
"Coal County, Oklahoma",40029,48899,"2,328"
"Alamosa County, Colorado",8003,48905,"2,327"
"McCormick County, South Carolina",45065,48924,"2,326"
"Terrell County, Texas",48443,48929,"2,325"
"Okmulgee County, Oklahoma",40111,48942,"2,324"
"Val Verde County, Texas",48465,48944,"2,323"
"Tazewell County, Virginia",51185,48963,"2,322"
"Fremont County, Colorado",8043,48972,"2,321"
"St. Mary Parish, Louisiana",22101,48992,"2,320"
"Oneida County, Idaho",16071,48995,"2,319"
"Perquimans County, North Carolina",37143,49000,"2,318"
"Wayne County, Indiana",18177,49006,"2,317"
"Wilson County, Kansas",20205,49007,"2,316"
"Schley County, Georgia",13249,49010,"2,315"
"Greenwood County, South Carolina",45047,49015,"2,313"
"Powell County, Kentucky",21197,49015,"2,313"
"Oceana County, Michigan",26127,49019,"2,312"
"Nye County, Nevada",32023,49046,"2,311"
"Conway County, Arkansas",5029,49061,"2,310"
"Canyon County, Idaho",16027,49075,"2,309"
"Falls County, Texas",48145,49092,"2,308"
"Marion County, Tennessee",47115,49097,"2,307"
"Pope County, Arkansas",5115,49106,"2,306"
"Cleveland County, North Carolina",37045,49111,"2,305"
"Trinity County, California",6105,49118,"2,304"
"Union County, Arkansas",5139,49132,"2,303"
"Lawrence County, Alabama",1079,49135,"2,302"
"Grant County, Indiana",18053,49160,"2,301"
"Curry County, Oregon",41015,49170,"2,300"
"Stoddard County, Missouri",29207,49185,"2,299"
"Titus County, Texas",48449,49186,"2,298"
"Halifax County with South Boston City, Virginia",51083,49191,"2,297"
"Jackson County, Ohio",39079,49197,"2,296"
"Tillamook County, Oregon",41057,49214,"2,295"
"Fayette County, Ohio",39047,49222,"2,294"
"Mecklenburg County, Virginia",51117,49223,"2,293"
"Bryan County, Oklahoma",40013,49229,"2,292"
"Kiowa County, Oklahoma",40075,49233,"2,291"
"Wexford County, Michigan",26165,49258,"2,290"
"Miami-Dade County, Florida",12086,49264,"2,289"
"Mifflin County, Pennsylvania",42087,49271,"2,288"
"Madera County, California",6039,49272,"2,287"
"Bibb County, Georgia",13021,49275,"2,286"
"Pershing County, Nevada",32027,49309,"2,285"
"Scotland County, Missouri",29199,49323,"2,284"
"Grand County, Utah",49019,49339,"2,283"
"Edmonson County, Kentucky",21061,49349,"2,282"
"Mahnomen County, Minnesota",27087,49375,"2,281"
"Angelina County, Texas",48005,49384,"2,280"
"Glascock County, Georgia",13125,49406,"2,279"
"Tallapoosa County, Alabama",1123,49427,"2,278"
"Montcalm County, Michigan",26117,49442,"2,277"
"Harrison County, Missouri",29081,49449,"2,276"
"Macon County, Missouri",29121,49453,"2,274"
"Presque Isle County, Michigan",26141,49453,"2,274"
"Habersham County, Georgia",13137,49454,"2,273"
"Lincoln County, New Mexico",35027,49461,"2,272"
"Lamar County, Georgia",13171,49467,"2,271"
"Lincoln County, Idaho",16063,49482,"2,270"
"Lafayette County, Florida",12067,49495,"2,269"
"Mitchell County, North Carolina",37121,49502,"2,268"
"Randolph County, West Virginia",54083,49520,"2,267"
"Hamilton County, Kansas",20075,49524,"2,266"
"Simpson County, Kentucky",21213,49527,"2,265"
"Phillips County, Montana",30071,49535,"2,264"
"Valencia County, New Mexico",35061,49579,"2,263"
"Alexander County, North Carolina",37003,49582,"2,262"
"Jewell County, Kansas",20089,49597,"2,261"
"Runnels County, Texas",48399,49611,"2,260"
"Curry County, New Mexico",35009,49615,"2,259"
"Gogebic County, Michigan",26053,49677,"2,258"
"Muskogee County, Oklahoma",40101,49682,"2,257"
"Jackson County, Oklahoma",40065,49684,"2,256"
"Garland County, Arkansas",5051,49707,"2,255"
"Adams County, Washington",53001,49723,"2,253"
"Chaves County, New Mexico",35005,49723,"2,253"
"Vilas County, Wisconsin",55125,49724,"2,252"
"Sussex County, Virginia",51183,49730,"2,251"
"Giles County, Tennessee",47055,49734,"2,250"
"Kings County, California",6031,49735,"2,249"
"McMinn County, Tennessee",47107,49737,"2,248"
"Polk County, Missouri",29167,49755,"2,247"
"Coffee County, Tennessee",47031,49779,"2,246"
"Carlisle County, Kentucky",21039,49787,"2,245"
"Wibaux County, Montana",30109,49800,"2,244"
"Accomack County, Virginia",51001,49807,"2,243"
"Grant County, Kentucky",21081,49858,"2,242"
"Raleigh County, West Virginia",54081,49881,"2,241"
"Sawyer County, Wisconsin",55113,49886,"2,240"
"Bethel Census Area, Alaska",2050,49889,"2,239"
"Yakima County, Washington",53077,49907,"2,238"
"Gulf County, Florida",12045,49921,"2,237"
"Coshocton County, Ohio",39031,49925,"2,236"
"Latimer County, Oklahoma",40077,49942,"2,235"
"Ritchie County, West Virginia",54085,49943,"2,234"
"Orleans Parish, Louisiana",22071,49948,"2,232"
"Powell County, Montana",30077,49948,"2,232"
"Montgomery County, Missouri",29139,49955,"2,231"
"Sumter County, South Carolina",45085,49962,"2,230"
"Fresno County, California",6019,49999,"2,229"
"Hardeman County, Texas",48197,50000,"2,227"
"Rio Grande County, Colorado",8105,50000,"2,227"
"Upshur County, West Virginia",54097,50007,"2,226"
"Harrison County, Mississippi",28047,50012,"2,225"
"Northampton County, Virginia",51131,50015,"2,224"
"Perry County, Ohio",39127,50017,"2,223"
"Perry County, Arkansas",5105,50030,"2,222"
"Lowndes County, Mississippi",28087,50033,"2,221"
"Pend Oreille County, Washington",53051,50036,"2,220"
"Montgomery County, Kansas",20125,50042,"2,219"
"Todd County, Kentucky",21219,50059,"2,218"
"Webster County, Kentucky",21233,50065,"2,217"
"La Salle Parish, Louisiana",22059,50072,"2,215"
"Starke County, Indiana",18149,50072,"2,215"
"Stone County, Mississippi",28131,50074,"2,214"
"Grant Parish, Louisiana",22043,50077,"2,213"
"Mineral County, West Virginia",54057,50078,"2,212"
"Grundy County, Missouri",29079,50086,"2,211"
"Jefferson County, Oregon",41031,50141,"2,210"
"Navarro County, Texas",48349,50148,"2,209"
"Woodson County, Kansas",20207,50162,"2,208"
"Randolph County, Indiana",18135,50180,"2,207"
"Pettis County, Missouri",29159,50183,"2,206"
"Pittsylvania County, Virginia",51143,50187,"2,205"
"Lewis County, Idaho",16061,50203,"2,204"
"Columbia County, Washington",53013,50205,"2,203"
"Troup County, Georgia",13285,50220,"2,202"
"Seward County, Kansas",20175,50234,"2,201"
"Crenshaw County, Alabama",1041,50235,"2,200"
"Douglas County, Oregon",41019,50241,"2,199"
"Aroostook County, Maine",23003,50246,"2,198"
"Union County, New Mexico",35059,50250,"2,197"
"San Juan County, Utah",49037,50257,"2,196"
"Clarke County, Georgia",13059,50259,"2,195"
"Carroll County, Mississippi",28015,50276,"2,194"
"Knox County, Missouri",29103,50299,"2,193"
"Union County, Georgia",13291,50303,"2,192"
"Richmond City, Virginia",51760,50307,"2,191"
"Parke County, Indiana",18121,50326,"2,190"
"Burke County, North Carolina",37023,50332,"2,189"
"Matagorda County, Texas",48321,50335,"2,188"
"Sebastian County, Arkansas",5131,50344,"2,187"
"Stokes County, North Carolina",37169,50355,"2,186"
"Allen County, Kansas",20001,50368,"2,185"
"Chariton County, Missouri",29041,50369,"2,183"
"Daviess County, Missouri",29061,50369,"2,183"
"Bleckley County, Georgia",13023,50376,"2,182"
"Kinney County, Texas",48271,50379,"2,181"
"Pacific County, Washington",53049,50391,"2,180"
"Polk County, Texas",48373,50396,"2,179"
"Donley County, Texas",48129,50400,"2,178"
"Randolph County, Missouri",29175,50403,"2,177"
"Cleveland County, Arkansas",5025,50407,"2,175"
"Glenn County, California",6021,50407,"2,175"
"Brunswick County, Virginia",51025,50415,"2,174"
"Stephens County, Georgia",13257,50431,"2,173"
"Pearl River County, Mississippi",28109,50455,"2,172"
"Athens County, Ohio",39009,50466,"2,171"
"Sherman County, Kansas",20181,50467,"2,170"
"Catron County, New Mexico",35003,50473,"2,169"
"Ashtabula County, Ohio",39007,50502,"2,168"
"Somerset County, Maine",23025,50533,"2,167"
"Ouachita Parish, Louisiana",22073,50538,"2,166"
"Brown County, Texas",48049,50541,"2,165"
"Henderson County, Texas",48213,50542,"2,164"
"Banks County, Georgia",13011,50543,"2,163"
"Stone County, Missouri",29209,50549,"2,162"
"Wayne County, North Carolina",37191,50552,"2,161"
"Guernsey County, Ohio",39059,50579,"2,160"
"Washington County, Kentucky",21229,50594,"2,159"
"Madison County, North Carolina",37115,50598,"2,158"
"Lemhi County, Idaho",16059,50605,"2,157"
"Rowan County, Kentucky",21205,50628,"2,156"
"Lamar County, Texas",48277,50634,"2,154"
"Lyon County, Kansas",20111,50634,"2,154"
"Manistee County, Michigan",26101,50678,"2,153"
"Catahoula Parish, Louisiana",22025,50679,"2,151"
"Livingston County, Kentucky",21139,50679,"2,151"
"Gilmer County, West Virginia",54021,50698,"2,150"
"Newberry County, South Carolina",45071,50699,"2,149"
"Parmer County, Texas",48369,50700,"2,148"
"Garvin County, Oklahoma",40049,50705,"2,147"
"Clark County, Arkansas",5019,50721,"2,145"
"Grant County, Oregon",41023,50721,"2,145"
"Owen County, Kentucky",21187,50725,"2,144"
"Knox County, Texas",48275,50729,"2,143"
"Ashland County, Wisconsin",55003,50730,"2,142"
"Burnett County, Wisconsin",55013,50734,"2,141"
"Mercer County, Missouri",29129,50742,"2,139"
"Newton County, Missouri",29145,50742,"2,139"
"Jackson County, North Carolina",37099,50768,"2,138"
"Boone County, West Virginia",54005,50777,"2,137"
"Boundary County, Idaho",16021,50783,"2,136"
"Roanoke City, Virginia",51770,50786,"2,135"
"Gonzales County, Texas",48177,50791,"2,134"
"Page County, Virginia",51139,50792,"2,133"
"Rapides Parish, Louisiana",22079,50803,"2,132"
"Minidoka County, Idaho",16067,50825,"2,131"
"Sabine Parish, Louisiana",22085,50859,"2,130"
"Walker County, Georgia",13295,50862,"2,129"
"Neosho County, Kansas",20133,50868,"2,128"
"Dawson County, Texas",48115,50884,"2,127"
"Hoke County, North Carolina",37093,50890,"2,126"
"Haskell County, Texas",48207,50895,"2,125"
"Bulloch County, Georgia",13031,50907,"2,124"
"Columbia County, Arkansas",5027,50910,"2,123"
"Yuba County, California",6115,50912,"2,122"
"Scott County, Indiana",18143,50920,"2,120"
"Taylor County, West Virginia",54091,50920,"2,120"
"Oxford County, Maine",23017,50922,"2,119"
"Cannon County, Tennessee",47015,50941,"2,118"
"Vermillion County, Indiana",18165,50943,"2,117"
"Deaf Smith County, Texas",48117,50953,"2,116"
"Jay County, Indiana",18075,50957,"2,115"
"Sevier County, Tennessee",47155,50959,"2,114"
"Massac County, Illinois",17127,50965,"2,113"
"Baraga County, Michigan",26013,50968,"2,112"
"Madison County, Georgia",13195,50970,"2,111"
"Crook County, Oregon",41013,50972,"2,110"
"Anderson County, Texas",48001,50978,"2,109"
"Sanilac County, Michigan",26151,50984,"2,108"
"Polk County, Florida",12105,50986,"2,107"
"Onslow County, North Carolina",37133,51012,"2,106"
"McPherson County, South Dakota",46089,51016,"2,105"
"Gregory County, South Dakota",46053,51023,"2,103"
"Roosevelt County, Montana",30085,51023,"2,103"
"Baltimore City, Maryland",24510,51032,"2,102"
"Fayette County, Illinois",17051,51045,"2,100"
"Lake County, Montana",30047,51045,"2,100"
"Scioto County, Ohio",39145,51063,"2,099"
"Etowah County, Alabama",1055,51104,"2,098"
"Heard County, Georgia",13149,51108,"2,097"
"Caddo County, Oklahoma",40015,51109,"2,095"
"Pocahontas County, West Virginia",54075,51109,"2,095"
"Furnas County, Nebraska",31065,51118,"2,094"
"Washington County, Indiana",18175,51120,"2,093"
"Person County, North Carolina",37145,51122,"2,092"
"Jones County, South Dakota",46075,51125,"2,091"
"Lynchburg City, Virginia",51680,51128,"2,090"
"Colbert County, Alabama",1033,51154,"2,089"
"Briscoe County, Texas",48045,51156,"2,088"
"Franklin County, Tennessee",47051,51166,"2,087"
"Cameron County, Pennsylvania",42023,51167,"2,086"
"Menominee County, Michigan",26109,51190,"2,085"
"Marshall County, Tennessee",47117,51208,"2,084"
"Cherokee County, Oklahoma",40021,51209,"2,083"
"Doddridge County, West Virginia",54017,51212,"2,082"
"Miller County, Arkansas",5091,51218,"2,081"
"Wythe County, Virginia",51197,51246,"2,080"
"Jefferson Davis Parish, Louisiana",22053,51250,"2,079"
"Hillsdale County, Michigan",26059,51253,"2,078"
"Crawford County, Ohio",39033,51256,"2,077"
"Aransas County, Texas",48007,51267,"2,076"
"Rowan County, North Carolina",37159,51296,"2,075"
"Noble County, Ohio",39121,51321,"2,074"
"Decatur County, Iowa",19053,51322,"2,073"
"Greene County, Illinois",17061,51327,"2,072"
"Weakley County, Tennessee",47183,51329,"2,071"
"Pulaski County, Indiana",18131,51345,"2,070"
"Kay County, Oklahoma",40071,51352,"2,069"
"Mason County, Texas",48319,51359,"2,068"
"Beaufort County, North Carolina",37013,51361,"2,067"
"Greenwood County, Kansas",20073,51364,"2,066"
"Floyd County, Georgia",13115,51379,"2,065"
"Randolph County, North Carolina",37151,51380,"2,064"
"Kiowa County, Colorado",8061,51389,"2,063"
"Saline County, Illinois",17165,51402,"2,062"
"Hancock County, West Virginia",54029,51407,"2,061"
"Caldwell County, Texas",48055,51424,"2,059"
"Newaygo County, Michigan",26123,51424,"2,059"
"Camas County, Idaho",16025,51442,"2,058"
"Lincoln County, Oregon",41041,51461,"2,057"
"Blaine County, Nebraska",31009,51477,"2,056"
"Hopewell City, Virginia",51670,51489,"2,055"
"Baker County, Georgia",13007,51495,"2,054"
"Mason County, Michigan",26105,51500,"2,052"
"Tucker County, West Virginia",54093,51500,"2,052"
"Hardin County, Ohio",39065,51510,"2,051"
"Potter County, Pennsylvania",42105,51541,"2,050"
"Hardin County, Illinois",17069,51554,"2,049"
"Refugio County, Texas",48391,51563,"2,048"
"Jefferson County, Tennessee",47089,51570,"2,047"
"Norfolk City, Virginia",51710,51578,"2,046"
"Cherokee County, Kansas",20021,51579,"2,045"
"Crittenden County, Kentucky",21055,51583,"2,044"
"Elmore County, Idaho",16039,51593,"2,043"
"Labette County, Kansas",20099,51597,"2,042"
"Iberia Parish, Louisiana",22045,51613,"2,041"
"Oktibbeha County, Mississippi",28105,51626,"2,040"
"Hill County, Texas",48217,51677,"2,039"
"Allen Parish, Louisiana",22003,51711,"2,038"
"Mineral County, Montana",30061,51719,"2,037"
"Pike County, Illinois",17149,51736,"2,036"
"Oconee County, South Carolina",45073,51754,"2,035"
"Marion County, Missouri",29127,51758,"2,034"
"Fergus County, Montana",30027,51775,"2,033"
"Gallatin County, Kentucky",21077,51782,"2,032"
"Chilton County, Alabama",1021,51789,"2,031"
"Bowie County, Texas",48037,51792,"2,030"
"Wasco County, Oregon",41065,51796,"2,029"
"Volusia County, Florida",12127,51810,"2,028"
"Tyler County, West Virginia",54095,51823,"2,027"
"Mayes County, Oklahoma",40097,51842,"2,025"
"Moore County, Texas",48341,51842,"2,025"
"Stevens County, Washington",53065,51852,"2,024"
"Warren County, Mississippi",28149,51854,"2,023"
"Chester County, Tennessee",47023,51859,"2,022"
"Stanly County, North Carolina",37167,51864,"2,021"
"Gratiot County, Michigan",26057,51865,"2,020"
"East Feliciana Parish, Louisiana",22037,51866,"2,019"
"Cumberland County, North Carolina",37051,51870,"2,018"
"Franklin County, Illinois",17055,51873,"2,017"
"St. Lucie County, Florida",12111,51874,"2,016"
"San Juan County, Colorado",8111,51875,"2,015"
"Adams County, Wisconsin",55001,51884,"2,014"
"St. Martin Parish, Louisiana",22099,51897,"2,013"
"Greer County, Oklahoma",40055,51901,"2,012"
"Caldwell County, Kentucky",21033,51909,"2,011"
"Day County, South Dakota",46037,51914,"2,010"
"Delta County, Colorado",8029,51915,"2,009"
"Delaware County, Indiana",18035,51935,"2,007"
"Webster County, Missouri",29225,51935,"2,007"
"Wood County, West Virginia",54107,51984,"2,006"
"Churchill County, Nevada",32001,51985,"2,005"
"Pueblo County, Colorado",8101,51986,"2,004"
"Kimble County, Texas",48267,51995,"2,003"
"Montezuma County, Colorado",8083,51997,"2,002"
"Jefferson County, Ohio",39081,52024,"2,001"
