"Notes"	"County"	"County Code"	Avg Daily Sunlight (KJ/m²)	# of Observations for Daily Sunlight
	"Faulkner County, AR"	"05045"	16377.75	132583
	"Franklin County, AR"	"05047"	16350.74	108477
	"Fulton County, AR"	"05049"	16205.99	108477
	"Garland County, AR"	"05051"	16403.04	132583
	"Grant County, AR"	"05053"	16656.02	108477
	"Greene County, AR"	"05055"	16246.64	120530
	"Hempstead County, AR"	"05057"	16685.90	144636
	"Hot Spring County, AR"	"05059"	16568.21	144636
	"Howard County, AR"	"05061"	16446.59	108477
	"Independence County, AR"	"05063"	16330.06	144636
	"Izard County, AR"	"05065"	16222.68	132583
	"Jackson County, AR"	"05067"	16462.47	120530
	"Jefferson County, AR"	"05069"	16702.71	168742
	"Johnson County, AR"	"05071"	16294.07	156689
	"Lafayette County, AR"	"05073"	16940.63	120530
	"Lawrence County, AR"	"05075"	16304.83	120530
	"Lee County, AR"	"05077"	16566.51	96424
	"Lincoln County, AR"	"05079"	16804.55	144636
	"Little River County, AR"	"05081"	16716.84	84371
	"Logan County, AR"	"05083"	16385.30	144636
	"Lonoke County, AR"	"05085"	16617.26	156689
	"Madison County, AR"	"05087"	16140.72	180795
	"Marion County, AR"	"05089"	16205.13	108477
	"Miller County, AR"	"05091"	16885.04	120530
	"Mississippi County, AR"	"05093"	16243.83	180795
	"Monroe County, AR"	"05095"	16634.20	108477
	"Montgomery County, AR"	"05097"	16350.67	144636
	"Nevada County, AR"	"05099"	16810.39	120530
	"Newton County, AR"	"05101"	16203.37	156689
	"Ouachita County, AR"	"05103"	16859.07	168742
	"Perry County, AR"	"05105"	16425.38	132583
	"Phillips County, AR"	"05107"	16711.87	132583
	"Pike County, AR"	"05109"	16489.43	120530
	"Poinsett County, AR"	"05111"	16410.84	144636
	"Polk County, AR"	"05113"	16190.42	204901
	"Pope County, AR"	"05115"	16266.40	180795
	"Prairie County, AR"	"05117"	16622.08	132583
	"Pulaski County, AR"	"05119"	16550.30	120530
	"Randolph County, AR"	"05121"	16182.05	132583
	"St. Francis County, AR"	"05123"	16539.47	132583
	"Saline County, AR"	"05125"	16503.48	144636
	"Scott County, AR"	"05127"	16395.35	144636
	"Searcy County, AR"	"05129"	16201.70	156689
	"Sebastian County, AR"	"05131"	16465.06	84371
	"Sevier County, AR"	"05133"	16552.52	132583
	"Sharp County, AR"	"05135"	16248.78	120530
	"Stone County, AR"	"05137"	16236.48	84371
	"Union County, AR"	"05139"	16986.02	216954
	"Van Buren County, AR"	"05141"	16275.59	120530
	"Washington County, AR"	"05143"	16165.61	192848
	"White County, AR"	"05145"	16424.91	216954
	"Woodruff County, AR"	"05147"	16505.67	144636
	"Yell County, AR"	"05149"	16386.41	204901
	"Alameda County, CA"	"06001"	19159.13	132583
	"Alpine County, CA"	"06003"	18911.65	156689
	"Amador County, CA"	"06005"	18777.30	96424
	"Butte County, CA"	"06007"	18373.40	373643
	"Calaveras County, CA"	"06009"	18894.23	216954
	"Colusa County, CA"	"06011"	18724.46	253113
	"Contra Costa County, CA"	"06013"	18949.07	144636
	"Del Norte County, CA"	"06015"	17308.91	229007
	"El Dorado County, CA"	"06017"	18700.46	385696
	"Fresno County, CA"	"06019"	19368.97	1181194
	"Glenn County, CA"	"06021"	18534.71	241060
	"Humboldt County, CA"	"06023"	17788.95	807551
	"Imperial County, CA"	"06025"	20774.77	843710
	"Inyo County, CA"	"06027"	19768.63	2181593
	"Kern County, CA"	"06029"	19911.45	1482519
	"Kings County, CA"	"06031"	19627.67	313378
	"Lake County, CA"	"06033"	18842.96	289272
	"Lassen County, CA"	"06035"	18264.21	952187
	"Los Angeles County, CA"	"06037"	20247.91	855763
	"Madera County, CA"	"06039"	19186.09	421855
	"Marin County, CA"	"06041"	18309.92	108477
	"Mariposa County, CA"	"06043"	19139.58	313378
	"Mendocino County, CA"	"06045"	18535.76	759339
	"Merced County, CA"	"06047"	19468.78	409802
	"Modoc County, CA"	"06049"	17762.18	1012452
	"Mono County, CA"	"06051"	18989.93	614703
	"Monterey County, CA"	"06053"	19875.90	699074
	"Napa County, CA"	"06055"	18878.47	132583
	"Nevada County, CA"	"06057"	18712.17	241060
	"Orange County, CA"	"06059"	20000.98	156689
	"Placer County, CA"	"06061"	18647.86	265166
	"Plumas County, CA"	"06063"	18492.75	542385
	"Riverside County, CA"	"06065"	20596.16	1506625
	"Sacramento County, CA"	"06067"	18705.22	216954
	"San Benito County, CA"	"06069"	19688.60	277219
	"San Bernardino County, CA"	"06071"	20094.62	3893119
	"San Diego County, CA"	"06073"	20494.52	759339
	"San Francisco County, CA"	"06075"	18386.00	12053
	"San Joaquin County, CA"	"06077"	19063.39	277219
	"San Luis Obispo County, CA"	"06079"	20058.51	626756
	"San Mateo County, CA"	"06081"	18799.18	96424
	"Santa Barbara County, CA"	"06083"	20497.85	494173
	"Santa Clara County, CA"	"06085"	19330.61	253113
	"Santa Cruz County, CA"	"06087"	18774.12	96424
	"Shasta County, CA"	"06089"	18094.83	735233
	"Sierra County, CA"	"06091"	18704.05	204901
	"Siskiyou County, CA"	"06093"	17864.41	1374042
	"Solano County, CA"	"06095"	18899.85	156689
	"Sonoma County, CA"	"06097"	18692.92	337484
	"Stanislaus County, CA"	"06099"	19306.44	313378
	"Sutter County, CA"	"06101"	18594.13	108477
	"Tehama County, CA"	"06103"	18230.34	650862
	"Trinity County, CA"	"06105"	18065.13	626756
	"Tulare County, CA"	"06107"	19496.77	1000399
	"Tuolumne County, CA"	"06109"	19114.68	458014
	"Ventura County, CA"	"06111"	20139.44	373643
	"Yolo County, CA"	"06113"	18741.92	192848
	"Yuba County, CA"	"06115"	18512.53	168742
	"Adams County, CO"	"08001"	17158.32	241060
	"Alamosa County, CO"	"08003"	18061.38	132583
	"Arapahoe County, CO"	"08005"	17301.14	229007
	"Archuleta County, CO"	"08007"	17866.68	265166
	"Baca County, CO"	"08009"	18140.45	542385
	"Bent County, CO"	"08011"	18072.77	301325
	"Boulder County, CO"	"08013"	16738.10	180795
	"Chaffee County, CO"	"08015"	17379.37	204901
	"Cheyenne County, CO"	"08017"	17547.90	325431
	"Clear Creek County, CO"	"08019"	16554.10	108477
	"Conejos County, CO"	"08021"	18322.41	241060
	"Costilla County, CO"	"08023"	17495.53	253113
	"Crowley County, CO"	"08025"	18125.47	144636
	"Custer County, CO"	"08027"	17446.24	168742
	"Delta County, CO"	"08029"	17145.10	265166
	"Denver County, CO"	"08031"	17102.48	12053
	"Dolores County, CO"	"08033"	17448.93	204901
	"Douglas County, CO"	"08035"	17203.79	156689
	"Eagle County, CO"	"08037"	16734.50	325431
	"Elbert County, CO"	"08039"	17483.99	301325
	"El Paso County, CO"	"08041"	17638.55	458014
	"Fremont County, CO"	"08043"	17553.09	361590
	"Garfield County, CO"	"08045"	17140.36	614703
	"Gilpin County, CO"	"08047"	16515.33	24106
	"Grand County, CO"	"08049"	16694.03	433908
	"Gunnison County, CO"	"08051"	17307.54	699074
	"Hinsdale County, CO"	"08053"	17278.88	229007
	"Huerfano County, CO"	"08055"	17686.49	337484
	"Jackson County, CO"	"08057"	16742.06	337484
	"Jefferson County, CO"	"08059"	16863.52	168742
	"Kiowa County, CO"	"08061"	17802.76	397749
	"Kit Carson County, CO"	"08063"	17279.70	530332
	"Lake County, CO"	"08065"	17260.10	108477
	"La Plata County, CO"	"08067"	18189.30	337484
	"Larimer County, CO"	"08069"	16388.27	566491
	"Las Animas County, CO"	"08071"	18178.49	903975
	"Lincoln County, CO"	"08073"	17683.03	590597
	"Logan County, CO"	"08075"	16812.79	470067
	"Mesa County, CO"	"08077"	17315.22	662915
	"Mineral County, CO"	"08079"	17502.55	192848
	"Moffat County, CO"	"08081"	17241.66	976293
	"Montezuma County, CO"	"08083"	18145.60	385696
	"Montrose County, CO"	"08085"	17306.47	433908
	"Morgan County, CO"	"08087"	17183.43	241060
	"Otero County, CO"	"08089"	18171.06	253113
	"Ouray County, CO"	"08091"	16858.75	120530
	"Park County, CO"	"08093"	17155.41	397749
	"Phillips County, CO"	"08095"	16758.18	180795
	"Pitkin County, CO"	"08097"	16775.31	229007
	"Prowers County, CO"	"08099"	17896.93	361590
	"Pueblo County, CO"	"08101"	18039.87	494173
	"Rio Blanco County, CO"	"08103"	17157.66	687021
	"Rio Grande County, CO"	"08105"	18313.66	204901
	"Routt County, CO"	"08107"	17439.40	470067
	"Saguache County, CO"	"08109"	17620.36	614703
	"San Juan County, CO"	"08111"	17073.04	84371
	"San Miguel County, CO"	"08113"	16986.60	241060
	"Sedgwick County, CO"	"08115"	16540.10	120530
	"Summit County, CO"	"08117"	16792.00	108477
	"Teller County, CO"	"08119"	17055.75	144636
	"Washington County, CO"	"08121"	17165.86	542385
	"Weld County, CO"	"08123"	16879.48	843710
	"Yuma County, CO"	"08125"	17007.43	433908
	"Fairfield County, CT"	"09001"	15316.04	132583
	"Hartford County, CT"	"09003"	14602.99	144636
	"Litchfield County, CT"	"09005"	14603.11	192848
	"Middlesex County, CT"	"09007"	15113.26	84371
	"New Haven County, CT"	"09009"	15141.35	132583
	"New London County, CT"	"09011"	15177.64	168742
	"Tolland County, CT"	"09013"	14603.96	84371
	"Windham County, CT"	"09015"	14664.88	132583
	"Kent County, DE"	"10001"	15809.41	120530
	"New Castle County, DE"	"10003"	15335.57	84371
	"Sussex County, DE"	"10005"	15936.01	192848
	"District of Columbia, DC"	"11001"	15265.36	12053
	"Alachua County, FL"	"12001"	18028.29	180795
	"Baker County, FL"	"12003"	17777.25	144636
	"Bay County, FL"	"12005"	17953.44	192848
	"Bradford County, FL"	"12007"	17865.16	72318
	"Brevard County, FL"	"12009"	20368.38	180795
	"Broward County, FL"	"12011"	19082.85	216954
	"Calhoun County, FL"	"12013"	17609.41	108477
	"Charlotte County, FL"	"12015"	19327.28	108477
	"Citrus County, FL"	"12017"	18340.82	96424
	"Clay County, FL"	"12019"	18033.74	120530
	"Collier County, FL"	"12021"	19369.97	385696
	"Columbia County, FL"	"12023"	17817.18	132583
	"Dade County, FL"	"12025"	19744.21	373643
	"DeSoto County, FL"	"12027"	18780.27	132583
	"Dixie County, FL"	"12029"	19718.03	132583
	"Duval County, FL"	"12031"	18463.58	120530
	"Escambia County, FL"	"12033"	17640.27	108477
	"Flagler County, FL"	"12035"	18848.00	96424
	"Franklin County, FL"	"12037"	19847.26	84371
	"Gadsden County, FL"	"12039"	17673.29	120530
	"Gilchrist County, FL"	"12041"	17930.12	60265
	"Glades County, FL"	"12043"	19359.51	192848
	"Gulf County, FL"	"12045"	18811.22	108477
	"Hamilton County, FL"	"12047"	17795.58	108477
	"Hardee County, FL"	"12049"	18765.38	84371
	"Hendry County, FL"	"12051"	18800.73	216954
	"Hernando County, FL"	"12053"	18367.57	108477
	"Highlands County, FL"	"12055"	18906.14	192848
	"Hillsborough County, FL"	"12057"	18605.51	192848
	"Holmes County, FL"	"12059"	17548.85	84371
	"Indian River County, FL"	"12061"	19272.50	120530
	"Jackson County, FL"	"12063"	17586.08	156689
	"Jefferson County, FL"	"12065"	17824.12	120530
	"Lafayette County, FL"	"12067"	18491.22	96424
	"Lake County, FL"	"12069"	18342.91	253113
	"Lee County, FL"	"12071"	19210.16	84371
	"Leon County, FL"	"12073"	17718.28	144636
	"Levy County, FL"	"12075"	18244.95	241060
	"Liberty County, FL"	"12077"	17736.86	156689
	"Madison County, FL"	"12079"	17717.17	132583
	"Manatee County, FL"	"12081"	18746.69	144636
	"Marion County, FL"	"12083"	18094.00	289272
	"Martin County, FL"	"12085"	19130.36	96424
	"Monroe County, FL"	"12087"	20491.34	144636
	"Nassau County, FL"	"12089"	18216.73	108477
	"Okaloosa County, FL"	"12091"	17665.04	156689
	"Okeechobee County, FL"	"12093"	18779.05	168742
	"Orange County, FL"	"12095"	18745.97	156689
	"Osceola County, FL"	"12097"	18921.23	289272
	"Palm Beach County, FL"	"12099"	19069.18	385696
	"Pasco County, FL"	"12101"	18425.08	156689
	"Pinellas County, FL"	"12103"	19453.14	48212
	"Polk County, FL"	"12105"	18659.15	373643
	"Putnam County, FL"	"12107"	18066.92	144636
	"St. Johns County, FL"	"12109"	18931.14	120530
	"St. Lucie County, FL"	"12111"	19546.53	72318
	"Santa Rosa County, FL"	"12113"	17671.46	216954
	"Sarasota County, FL"	"12115"	18935.84	108477
	"Seminole County, FL"	"12117"	18351.04	60265
	"Sumter County, FL"	"12119"	18426.74	72318
	"Suwannee County, FL"	"12121"	17796.73	132583
	"Taylor County, FL"	"12123"	18733.48	204901
	"Union County, FL"	"12125"	17845.40	36159
	"Volusia County, FL"	"12127"	18750.74	216954
	"Wakulla County, FL"	"12129"	18517.90	72318
	"Walton County, FL"	"12131"	17656.15	192848
	"Washington County, FL"	"12133"	17556.85	108477
	"Appling County, GA"	"13001"	17634.10	96424
	"Atkinson County, GA"	"13003"	17722.73	72318
	"Bacon County, GA"	"13005"	17645.68	48212
	"Baker County, GA"	"13007"	17485.62	60265
	"Baldwin County, GA"	"13009"	17285.65	48212
	"Banks County, GA"	"13011"	16799.91	48212
	"Barrow County, GA"	"13013"	16796.74	24106
	"Bartow County, GA"	"13015"	16415.48	72318
	"Ben Hill County, GA"	"13017"	17617.57	72318
	"Berrien County, GA"	"13019"	17708.40	108477
	"Bibb County, GA"	"13021"	17247.13	48212
	"Bleckley County, GA"	"13023"	17445.74	48212
	"Brantley County, GA"	"13025"	17877.94	96424
	"Brooks County, GA"	"13027"	17760.96	120530
	"Bryan County, GA"	"13029"	18074.05	72318
	"Bulloch County, GA"	"13031"	17593.00	132583
	"Burke County, GA"	"13033"	17530.94	168742
	"Butts County, GA"	"13035"	17077.03	36159
	"Calhoun County, GA"	"13037"	17489.79	48212
	"Camden County, GA"	"13039"	18698.75	132583
	"Candler County, GA"	"13043"	17532.11	48212
	"Carroll County, GA"	"13045"	16686.99	96424
	"Catoosa County, GA"	"13047"	16236.66	48212
	"Charlton County, GA"	"13049"	17776.93	144636
	"Chatham County, GA"	"13051"	18627.15	84371
	"Chattahoochee County, GA"	"13053"	17235.81	48212
	"Chattooga County, GA"	"13055"	16247.75	84371
	"Cherokee County, GA"	"13057"	16487.17	60265
	"Clarke County, GA"	"13059"	16961.29	24106
	"Clay County, GA"	"13061"	17372.38	36159
	"Clayton County, GA"	"13063"	16906.07	36159
	"Clinch County, GA"	"13065"	17816.78	156689
	"Cobb County, GA"	"13067"	16523.78	96424
	"Coffee County, GA"	"13069"	17649.60	96424
	"Colquitt County, GA"	"13071"	17634.62	132583
	"Columbia County, GA"	"13073"	17301.74	60265
	"Cook County, GA"	"13075"	17727.04	48212
	"Coweta County, GA"	"13077"	16851.92	84371
	"Crawford County, GA"	"13079"	17132.48	84371
	"Crisp County, GA"	"13081"	17479.36	48212
	"Dade County, GA"	"13083"	16104.72	36159
	"Dawson County, GA"	"13085"	16547.06	36159
	"Decatur County, GA"	"13087"	17615.63	108477
	"DeKalb County, GA"	"13089"	16781.81	60265
	"Dodge County, GA"	"13091"	17571.93	72318
	"Dooly County, GA"	"13093"	17391.91	72318
	"Dougherty County, GA"	"13095"	17479.80	60265
	"Douglas County, GA"	"13097"	16667.60	24106
	"Early County, GA"	"13099"	17461.79	108477
	"Echols County, GA"	"13101"	17792.51	72318
	"Effingham County, GA"	"13103"	17748.53	96424
	"Elbert County, GA"	"13105"	17132.01	72318
	"Emanuel County, GA"	"13107"	17534.67	132583
	"Evans County, GA"	"13109"	17616.56	36159
	"Fannin County, GA"	"13111"	16042.46	84371
	"Fayette County, GA"	"13113"	16906.87	36159
	"Floyd County, GA"	"13115"	16325.03	84371
	"Forsyth County, GA"	"13117"	16665.36	48212
	"Franklin County, GA"	"13119"	16847.47	48212
	"Fulton County, GA"	"13121"	16706.37	108477
	"Gilmer County, GA"	"13123"	16113.60	84371
	"Glascock County, GA"	"13125"	17350.34	24106
	"Glynn County, GA"	"13127"	18682.12	72318
	"Gordon County, GA"	"13129"	16326.82	96424
	"Grady County, GA"	"13131"	17622.07	84371
	"Greene County, GA"	"13133"	17208.18	84371
	"Gwinnett County, GA"	"13135"	16745.94	84371
	"Habersham County, GA"	"13137"	16807.61	48212
	"Hall County, GA"	"13139"	16735.74	84371
	"Hancock County, GA"	"13141"	17279.53	84371
	"Haralson County, GA"	"13143"	16513.57	60265
	"Harris County, GA"	"13145"	17114.34	84371
	"Hart County, GA"	"13147"	16991.17	60265
	"Heard County, GA"	"13149"	16887.80	48212
	"Henry County, GA"	"13151"	17031.29	36159
	"Houston County, GA"	"13153"	17337.90	72318
	"Irwin County, GA"	"13155"	17661.39	60265
	"Jackson County, GA"	"13157"	16856.54	72318
	"Jasper County, GA"	"13159"	17143.95	108477
	"Jeff Davis County, GA"	"13161"	17588.94	96424
	"Jefferson County, GA"	"13163"	17436.53	108477
	"Jenkins County, GA"	"13165"	17584.28	60265
	"Johnson County, GA"	"13167"	17471.38	36159
	"Jones County, GA"	"13169"	17208.51	72318
	"Lamar County, GA"	"13171"	17096.94	48212
	"Lanier County, GA"	"13173"	17793.90	12053
	"Laurens County, GA"	"13175"	17511.42	168742
	"Lee County, GA"	"13177"	17428.13	60265
	"Liberty County, GA"	"13179"	18239.93	120530
	"Lincoln County, GA"	"13181"	17356.03	48212
	"Long County, GA"	"13183"	17822.31	96424
	"Lowndes County, GA"	"13185"	17802.58	84371
	"Lumpkin County, GA"	"13187"	16528.40	60265
	"McDuffie County, GA"	"13189"	17281.80	48212
	"McIntosh County, GA"	"13191"	18694.33	72318
	"Macon County, GA"	"13193"	17302.74	72318
	"Madison County, GA"	"13195"	17029.66	60265
	"Marion County, GA"	"13197"	17219.90	72318
	"Meriwether County, GA"	"13199"	16962.48	108477
	"Miller County, GA"	"13201"	17479.04	36159
	"Mitchell County, GA"	"13205"	17502.11	84371
	"Monroe County, GA"	"13207"	17100.53	60265
	"Montgomery County, GA"	"13209"	17538.14	48212
	"Morgan County, GA"	"13211"	17105.94	60265
	"Murray County, GA"	"13213"	16081.85	72318
	"Muscogee County, GA"	"13215"	17114.18	60265
	"Newton County, GA"	"13217"	17029.64	36159
	"Oconee County, GA"	"13219"	16984.47	36159
	"Oglethorpe County, GA"	"13221"	17054.27	60265
	"Paulding County, GA"	"13223"	16483.34	60265
	"Peach County, GA"	"13225"	17336.26	24106
	"Pickens County, GA"	"13227"	16443.86	36159
	"Pierce County, GA"	"13229"	17729.38	72318
	"Pike County, GA"	"13231"	17004.81	48212
	"Polk County, GA"	"13233"	16421.88	84371
	"Pulaski County, GA"	"13235"	17477.40	60265
	"Putnam County, GA"	"13237"	17211.85	84371
	"Quitman County, GA"	"13239"	17278.59	48212
	"Rabun County, GA"	"13241"	16714.61	84371
	"Randolph County, GA"	"13243"	17353.24	72318
	"Richmond County, GA"	"13245"	17434.30	84371
	"Rockdale County, GA"	"13247"	16942.02	36159
	"Schley County, GA"	"13249"	17247.46	36159
	"Screven County, GA"	"13251"	17586.66	132583
	"Seminole County, GA"	"13253"	17599.68	60265
	"Spalding County, GA"	"13255"	17016.12	36159
	"Stephens County, GA"	"13257"	16958.04	24106
	"Stewart County, GA"	"13259"	17260.31	96424
	"Sumter County, GA"	"13261"	17321.55	84371
	"Talbot County, GA"	"13263"	17046.32	84371
	"Taliaferro County, GA"	"13265"	17224.07	36159
	"Tattnall County, GA"	"13267"	17587.64	84371
	"Taylor County, GA"	"13269"	17149.11	72318
	"Telfair County, GA"	"13271"	17586.94	84371
	"Terrell County, GA"	"13273"	17331.42	60265
	"Thomas County, GA"	"13275"	17686.01	120530
	"Tift County, GA"	"13277"	17627.25	36159
	"Toombs County, GA"	"13279"	17542.03	60265
	"Towns County, GA"	"13281"	16381.64	36159
	"Treutlen County, GA"	"13283"	17518.96	48212
	"Troup County, GA"	"13285"	16950.11	84371
	"Turner County, GA"	"13287"	17556.39	36159
	"Twiggs County, GA"	"13289"	17364.81	72318
	"Union County, GA"	"13291"	16160.10	72318
	"Upson County, GA"	"13293"	17108.73	60265
	"Walker County, GA"	"13295"	16221.58	84371
	"Walton County, GA"	"13297"	16929.55	72318
	"Ware County, GA"	"13299"	17751.51	156689
	"Warren County, GA"	"13301"	17284.19	60265
	"Washington County, GA"	"13303"	17398.35	144636
	"Wayne County, GA"	"13305"	17822.85	108477
	"Webster County, GA"	"13307"	17260.11	36159
	"Wheeler County, GA"	"13309"	17587.83	48212
	"White County, GA"	"13311"	16658.42	48212
	"Whitfield County, GA"	"13313"	16178.35	36159
	"Wilcox County, GA"	"13315"	17519.07	72318
	"Wilkes County, GA"	"13317"	17184.91	96424
	"Wilkinson County, GA"	"13319"	17411.17	72318
	"Worth County, GA"	"13321"	17540.95	108477
	"Ada County, ID"	"16001"	16625.10	216954
	"Adams County, ID"	"16003"	16092.94	301325
	"Bannock County, ID"	"16005"	16643.53	216954
	"Bear Lake County, ID"	"16007"	17125.18	265166
	"Benewah County, ID"	"16009"	13986.94	168742
	"Bingham County, ID"	"16011"	16258.10	458014
	"Blaine County, ID"	"16013"	16854.18	542385
	"Boise County, ID"	"16015"	16547.02	445961
	"Bonner County, ID"	"16017"	13782.64	470067
	"Bonneville County, ID"	"16019"	16365.51	458014
	"Boundary County, ID"	"16021"	13821.66	301325
	"Butte County, ID"	"16023"	16515.52	530332
	"Camas County, ID"	"16025"	17156.46	229007
	"Canyon County, ID"	"16027"	16558.04	120530
	"Caribou County, ID"	"16029"	16742.80	385696
	"Cassia County, ID"	"16031"	16538.17	530332
	"Clark County, ID"	"16033"	16074.54	421855
	"Clearwater County, ID"	"16035"	14584.89	554438
	"Custer County, ID"	"16037"	16279.07	1120929
	"Elmore County, ID"	"16039"	16938.02	687021
	"Franklin County, ID"	"16041"	17222.43	132583
	"Fremont County, ID"	"16043"	16136.39	458014
	"Gem County, ID"	"16045"	16206.28	156689
	"Gooding County, ID"	"16047"	16982.79	192848
	"Idaho County, ID"	"16049"	15105.29	2000798
	"Jefferson County, ID"	"16051"	16113.71	204901
	"Jerome County, ID"	"16053"	16646.67	132583
	"Kootenai County, ID"	"16055"	13814.01	289272
	"Latah County, ID"	"16057"	14433.85	216954
	"Lemhi County, ID"	"16059"	15855.02	1000399
	"Lewis County, ID"	"16061"	14662.14	144636
	"Lincoln County, ID"	"16063"	16954.33	313378
	"Madison County, ID"	"16065"	16046.27	96424
	"Minidoka County, ID"	"16067"	16600.45	192848
	"Nez Perce County, ID"	"16069"	14706.38	168742
	"Oneida County, ID"	"16071"	16703.60	277219
