Demographic Data Report for United States by County
Income: Median family income
"All Ages, All Races (includes Hispanic), Both Sexes"
2011-2015 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US (of 3141 counties)
"Baca County, Colorado",08009,44972.000000000,"2,664"
"DeKalb County, Tennessee",47041,44993.000000000,"2,663"
"Crawford County, Missouri",29055,45000.000000000,"2,660"
"Miller County, Georgia",13201,45000.000000000,"2,660"
"Piute County, Utah",49031,45000.000000000,"2,660"
"Barbour County, West Virginia",54001,45005.000000000,"2,659"
"Pulaski County, Kentucky",21199,45029.000000000,"2,658"
"Independence County, Arkansas",05063,45030.000000000,"2,657"
"Dona Ana County, New Mexico",35013,45044.000000000,"2,656"
"Bibb County, Alabama",01007,45081.000000000,"2,655"
"Marion County, Georgia",13197,45086.000000000,"2,654"
"Ohio County, Kentucky",21183,45113.000000000,"2,653"
"Choctaw County, Mississippi",28019,45139.000000000,"2,652"
"Neshoba County, Mississippi",28099,45141.000000000,"2,651"
"Jones County, Mississippi",28067,45157.000000000,"2,650"
"Meriwether County, Georgia",13199,45169.000000000,"2,649"
"Tillman County, Oklahoma",40141,45199.000000000,"2,648"
"Van Buren County, Tennessee",47175,45212.000000000,"2,647"
"Jackson County, Florida",12063,45222.000000000,"2,646"
"Robertson County, Kentucky",21201,45231.000000000,"2,645"
"Treasure County, Montana",30103,45268.000000000,"2,644"
"Jones County, North Carolina",37103,45308.000000000,"2,643"
"Hardin County, Tennessee",47071,45317.000000000,"2,642"
"Washington County, Florida",12133,45335.000000000,"2,641"
"Yancey County, North Carolina",37199,45347.000000000,"2,640"
"Bristol City, Virginia",51520,45363.000000000,"2,639"
"Jackson Parish, Louisiana",22049,45398.000000000,"2,638"
"Reynolds County, Missouri",29179,45409.000000000,"2,637"
"Yalobusha County, Mississippi",28161,45423.000000000,"2,636"
"Suwannee County, Florida",12121,45425.000000000,"2,635"
"Carroll County, Virginia",51035,45434.000000000,"2,634"
"Clay County, North Carolina",37043,45435.000000000,"2,633"
"Carter County, Kentucky",21043,45438.000000000,"2,631"
"Geneva County, Alabama",01061,45438.000000000,"2,631"
"Taos County, New Mexico",35055,45439.000000000,"2,630"
"Seminole County, Oklahoma",40133,45441.000000000,"2,629"
"Cherokee County, Alabama",01019,45444.000000000,"2,628"
"Fleming County, Kentucky",21069,45469.000000000,"2,627"
"Jackson County, Alabama",01071,45473.000000000,"2,626"
"Mason County, West Virginia",54053,45474.000000000,"2,625"
"Calhoun County, West Virginia",54013,45500.000000000,"2,624"
"Ashe County, North Carolina",37009,45510.000000000,"2,623"
"Marengo County, Alabama",01091,45524.000000000,"2,622"
"Wilkinson County, Georgia",13319,45526.000000000,"2,621"
"St. Landry Parish, Louisiana",22097,45530.000000000,"2,620"
"Carroll County, Arkansas",05015,45548.000000000,"2,619"
"Schuyler County, Missouri",29197,45551.000000000,"2,618"
"San Saba County, Texas",48411,45563.000000000,"2,617"
"Ontonagon County, Michigan",26131,45585.000000000,"2,616"
"Hickman County, Tennessee",47081,45587.000000000,"2,615"
"Murray County, Georgia",13213,45595.000000000,"2,614"
"Drew County, Arkansas",05043,45597.000000000,"2,613"
"Morgan County, Tennessee",47129,45613.000000000,"2,612"
"Saluda County, South Carolina",45081,45625.000000000,"2,611"
"Richland Parish, Louisiana",22083,45641.000000000,"2,610"
"Morgan County, Missouri",29141,45670.000000000,"2,609"
"Adair County, Kentucky",21001,45673.000000000,"2,608"
"Okfuskee County, Oklahoma",40107,45675.000000000,"2,607"
"Le Flore County, Oklahoma",40079,45696.000000000,"2,606"
"Clayton County, Georgia",13063,45702.000000000,"2,604"
"Franklin County, Arkansas",05047,45702.000000000,"2,604"
"Polk County, Tennessee",47139,45708.000000000,"2,603"
"Forest County, Pennsylvania",42053,45717.000000000,"2,602"
"Cherokee County, South Carolina",45021,45724.000000000,"2,601"
"Lincoln County, Montana",30053,45735.000000000,"2,600"
"Siskiyou County, California",06093,45742.000000000,"2,599"
"Covington County, Alabama",01039,45758.000000000,"2,598"
"Lewis County, West Virginia",54041,45766.000000000,"2,597"
"Chambers County, Alabama",01017,45779.000000000,"2,596"
"Dade County, Missouri",29057,45781.000000000,"2,595"
"DeKalb County, Alabama",01049,45803.000000000,"2,594"
"Imperial County, California",06025,45815.000000000,"2,593"
"Benson County, North Dakota",38005,45833.000000000,"2,591"
"Custer County, Colorado",08027,45833.000000000,"2,591"
"Adams County, Idaho",16003,45841.000000000,"2,590"
"Randolph County, Arkansas",05121,45871.000000000,"2,589"
"Chautauqua County, Kansas",20019,45893.000000000,"2,588"
"Fannin County, Georgia",13111,45909.000000000,"2,587"
"Collingsworth County, Texas",48087,45927.000000000,"2,585"
"Essex County, Vermont",50009,45927.000000000,"2,585"
"Brown County, Nebraska",31017,45963.000000000,"2,584"
"Torrance County, New Mexico",35057,45974.000000000,"2,583"
"Richmond County, Georgia",13245,45999.000000000,"2,582"
"Pulaski County, Georgia",13235,46038.000000000,"2,581"
"Iosco County, Michigan",26069,46042.000000000,"2,580"
"Laclede County, Missouri",29105,46043.000000000,"2,579"
"Haskell County, Oklahoma",40061,46044.000000000,"2,578"
"Appling County, Georgia",13001,46048.000000000,"2,577"
"Itawamba County, Mississippi",28057,46052.000000000,"2,576"
"Irwin County, Georgia",13155,46055.000000000,"2,575"
"Surry County, North Carolina",37171,46068.000000000,"2,574"
"Gordon County, Georgia",13129,46083.000000000,"2,573"
"Pendleton County, West Virginia",54071,46091.000000000,"2,572"
"Miller County, Missouri",29131,46093.000000000,"2,571"
"El Paso County, Texas",48141,46096.000000000,"2,570"
"Carroll County, Tennessee",47017,46111.000000000,"2,569"
"Carter County, Missouri",29035,46116.000000000,"2,568"
"Madison County, Texas",48313,46137.000000000,"2,567"
"Benewah County, Idaho",16009,46139.000000000,"2,566"
"Graham County, North Carolina",37075,46140.000000000,"2,565"
"Darlington County, South Carolina",45031,46146.000000000,"2,564"
"Wayne County, Utah",49055,46154.000000000,"2,563"
"Baxter County, Arkansas",05005,46178.000000000,"2,562"
"Shelby County, Texas",48419,46187.000000000,"2,561"
"Upson County, Georgia",13293,46191.000000000,"2,560"
"Luce County, Michigan",26095,46194.000000000,"2,559"
"Toombs County, Georgia",13279,46240.000000000,"2,558"
"Warren County, North Carolina",37185,46250.000000000,"2,557"
"Christian County, Kentucky",21047,46255.000000000,"2,556"
"Sevier County, Arkansas",05133,46261.000000000,"2,555"
"Barton County, Missouri",29011,46262.000000000,"2,554"
"Boone County, Arkansas",05009,46267.000000000,"2,553"
"Mohave County, Arizona",04015,46268.000000000,"2,552"
"Mercer County, West Virginia",54055,46277.000000000,"2,551"
"Arkansas County, Arkansas",05001,46282.000000000,"2,550"
"Grenada County, Mississippi",28043,46316.000000000,"2,549"
"St. Louis City, Missouri",29510,46334.000000000,"2,548"
"Martin County, North Carolina",37117,46342.000000000,"2,546"
"Taney County, Missouri",29213,46342.000000000,"2,546"
"Crittenden County, Arkansas",05035,46349.000000000,"2,545"
"Mackinac County, Michigan",26097,46354.000000000,"2,544"
"McIntosh County, Oklahoma",40091,46359.000000000,"2,543"
"Jasper County, Georgia",13159,46394.000000000,"2,541"
"Pike County, Ohio",39131,46394.000000000,"2,541"
"Chowan County, North Carolina",37041,46401.000000000,"2,540"
"Clarke County, Mississippi",28023,46406.000000000,"2,539"
"Liberty County, Georgia",13179,46414.000000000,"2,538"
"Hardy County, West Virginia",54031,46422.000000000,"2,537"
"Bennett County, South Dakota",46007,46429.000000000,"2,536"
"Arenac County, Michigan",26011,46436.000000000,"2,535"
"Josephine County, Oregon",41033,46452.000000000,"2,534"
"Wheeler County, Oregon",41069,46458.000000000,"2,533"
"Bee County, Texas",48025,46496.000000000,"2,532"
"Washington County, Maine",23029,46499.000000000,"2,531"
"Decatur County, Tennessee",47039,46500.000000000,"2,530"
"Potter County, Texas",48375,46529.000000000,"2,529"
"Hamblen County, Tennessee",47063,46537.000000000,"2,528"
"Covington City, Virginia",51580,46541.000000000,"2,527"
"Martinsville City, Virginia",51690,46565.000000000,"2,526"
"Dallas County, Arkansas",05039,46578.000000000,"2,525"
"Limestone County, Texas",48293,46626.000000000,"2,524"
"Randolph County, Alabama",01111,46633.000000000,"2,523"
"Scott County, Virginia",51169,46636.000000000,"2,522"
"Colfax County, New Mexico",35007,46643.000000000,"2,521"
"Cross County, Arkansas",05037,46645.000000000,"2,520"
"Linn County, Missouri",29115,46649.000000000,"2,519"
"Kleberg County, Texas",48273,46650.000000000,"2,518"
"Hart County, Georgia",13147,46670.000000000,"2,517"
"Green County, Kentucky",21087,46674.000000000,"2,516"
"Idaho County, Idaho",16049,46681.000000000,"2,515"
"Calhoun County, Arkansas",05013,46688.000000000,"2,514"
"Lynn County, Texas",48305,46691.000000000,"2,513"
"Yadkin County, North Carolina",37197,46704.000000000,"2,512"
"Avery County, North Carolina",37011,46707.000000000,"2,511"
"Clearwater County, Idaho",16035,46713.000000000,"2,510"
"Dallam County, Texas",48111,46715.000000000,"2,509"
"Pike County, Alabama",01109,46716.000000000,"2,508"
"Montgomery County, Kentucky",21173,46729.000000000,"2,507"
"Morgan County, Ohio",39115,46735.000000000,"2,506"
"Texas County, Missouri",29215,46775.000000000,"2,505"
"Merced County, California",06047,46793.000000000,"2,504"
"St. Bernard Parish, Louisiana",22087,46804.000000000,"2,503"
"Summers County, West Virginia",54089,46814.000000000,"2,502"
"Wayne County, West Virginia",54099,46827.000000000,"2,501"
"Acadia Parish, Louisiana",22001,46837.000000000,"2,500"
"Uvalde County, Texas",48463,46839.000000000,"2,499"
"Blackford County, Indiana",18009,46840.000000000,"2,498"
"Swain County, North Carolina",37173,46841.000000000,"2,497"
"Philadelphia County, Pennsylvania",42101,46864.000000000,"2,496"
"West Carroll Parish, Louisiana",22123,46892.000000000,"2,495"
"Osceola County, Michigan",26133,46896.000000000,"2,494"
"Logan County, West Virginia",54045,46928.000000000,"2,493"
"Shannon County, Missouri",29203,46935.000000000,"2,492"
"McCulloch County, Texas",48307,46938.000000000,"2,491"
"Webster County, Mississippi",28155,46942.000000000,"2,490"
"Somerset County, Maryland",24039,46947.000000000,"2,489"
"Power County, Idaho",16077,46962.000000000,"2,488"
"Monroe County, Mississippi",28095,46979.000000000,"2,486"
"Nicholas County, Kentucky",21181,46979.000000000,"2,486"
"Warren County, Tennessee",47177,47001.000000000,"2,485"
"Scott County, Missouri",29201,47015.000000000,"2,484"
"Vinton County, Ohio",39163,47028.000000000,"2,483"
"Iron County, Michigan",26071,47031.000000000,"2,482"
"Henry County, Tennessee",47079,47035.000000000,"2,481"
"Walker County, Alabama",01127,47069.000000000,"2,480"
"Houston County, Tennessee",47083,47072.000000000,"2,479"
"Washington County, Georgia",13303,47091.000000000,"2,478"
"Choctaw County, Alabama",01023,47112.000000000,"2,477"
"Wyandotte County, Kansas",20209,47117.000000000,"2,476"
"Piscataquis County, Maine",23021,47132.000000000,"2,475"
"Meigs County, Ohio",39105,47166.000000000,"2,474"
"Clarke County, Alabama",01025,47168.000000000,"2,473"
"Lawrence County, Tennessee",47099,47202.000000000,"2,472"
"Mason County, Kentucky",21161,47206.000000000,"2,471"
"Johnston County, Oklahoma",40069,47218.000000000,"2,470"
"Montgomery County, North Carolina",37123,47226.000000000,"2,469"
"Little River County, Arkansas",05081,47237.000000000,"2,468"
"Lake County, California",06033,47238.000000000,"2,467"
"Hale County, Texas",48189,47244.000000000,"2,466"
"Delaware County, Oklahoma",40041,47255.000000000,"2,465"
"Thurston County, Nebraska",31173,47257.000000000,"2,464"
"Forrest County, Mississippi",28035,47268.000000000,"2,463"
"Wyoming County, West Virginia",54109,47273.000000000,"2,462"
"Rusk County, Wisconsin",55107,47275.000000000,"2,461"
"Rhea County, Tennessee",47143,47278.000000000,"2,460"
"Caldwell Parish, Louisiana",22021,47321.000000000,"2,459"
"Gila County, Arizona",04007,47335.000000000,"2,458"
"Tift County, Georgia",13277,47346.000000000,"2,457"
"Union Parish, Louisiana",22111,47372.000000000,"2,456"
"Smith County, Mississippi",28129,47375.000000000,"2,455"
"Red River Parish, Louisiana",22081,47386.000000000,"2,454"
"Rabun County, Georgia",13241,47391.000000000,"2,453"
"Nolan County, Texas",48353,47445.000000000,"2,452"
"Hawkins County, Tennessee",47073,47450.000000000,"2,451"
"Cherokee County, Texas",48073,47457.000000000,"2,450"
"Gladwin County, Michigan",26051,47467.000000000,"2,449"
"Marion County, Kentucky",21155,47473.000000000,"2,448"
"Barren County, Kentucky",21009,47480.000000000,"2,447"
"Marion County, Texas",48315,47482.000000000,"2,446"
"Otero County, New Mexico",35035,47489.000000000,"2,445"
"Lamb County, Texas",48279,47500.000000000,"2,444"
"Alcona County, Michigan",26001,47514.000000000,"2,443"
"Fayette County, Indiana",18041,47515.000000000,"2,442"
"Marshall County, Oklahoma",40095,47525.000000000,"2,441"
"Larue County, Kentucky",21123,47527.000000000,"2,440"
"Craig County, Oklahoma",40035,47574.000000000,"2,439"
"Braxton County, West Virginia",54007,47583.000000000,"2,438"
"Rockingham County, North Carolina",37157,47610.000000000,"2,437"
"Geary County, Kansas",20061,47636.000000000,"2,436"
"Keya Paha County, Nebraska",31103,47639.000000000,"2,435"
"Prowers County, Colorado",08099,47641.000000000,"2,434"
"Towns County, Georgia",13281,47656.000000000,"2,433"
"Smyth County, Virginia",51173,47666.000000000,"2,432"
"Hughes County, Oklahoma",40063,47689.000000000,"2,431"
"Cheboygan County, Michigan",26031,47717.000000000,"2,430"
"Lunenburg County, Virginia",51111,47737.000000000,"2,429"
"Hinds County, Mississippi",28049,47739.000000000,"2,428"
"Kalkaska County, Michigan",26079,47742.000000000,"2,427"
"Macon County, North Carolina",37113,47746.000000000,"2,426"
"Harding County, New Mexico",35021,47750.000000000,"2,425"
"Highland County, Ohio",39071,47764.000000000,"2,424"
"Big Horn County, Montana",30003,47773.000000000,"2,423"
"Lincoln County, Tennessee",47103,47790.000000000,"2,422"
"Whitfield County, Georgia",13313,47803.000000000,"2,421"
"Caldwell County, North Carolina",37027,47815.000000000,"2,420"
"Schoolcraft County, Michigan",26153,47816.000000000,"2,419"
"Newton County, Texas",48351,47827.000000000,"2,418"
"Citrus County, Florida",12017,47829.000000000,"2,417"
"Modoc County, California",06049,47838.000000000,"2,416"
"Jackson County, South Dakota",46071,47857.000000000,"2,413"
"Sullivan County, Missouri",29211,47857.000000000,"2,413"
"Webster County, Georgia",13307,47857.000000000,"2,413"
"Lauderdale County, Mississippi",28075,47861.000000000,"2,412"
"Garfield County, Utah",49017,47865.000000000,"2,411"
"Cass County, Texas",48067,47871.000000000,"2,410"
"Logan County, Kentucky",21141,47879.000000000,"2,409"
"Henderson County, Tennessee",47077,47885.000000000,"2,408"
"Alpena County, Michigan",26007,47889.000000000,"2,407"
"White County, Georgia",13311,47894.000000000,"2,406"
"Lawrence County, Missouri",29109,47904.000000000,"2,405"
"Gibson County, Tennessee",47053,47933.000000000,"2,404"
"Bedford County, Tennessee",47003,47941.000000000,"2,403"
"Osceola County, Florida",12097,47952.000000000,"2,402"
"Shoshone County, Idaho",16079,47953.000000000,"2,401"
"Carroll County, Kentucky",21041,47989.000000000,"2,400"
"Nowata County, Oklahoma",40105,47993.000000000,"2,399"
"Monroe County, Ohio",39111,48000.000000000,"2,398"
"Obion County, Tennessee",47131,48020.000000000,"2,397"
"Washington County, Alabama",01129,48031.000000000,"2,396"
"Yukon-Koyukuk Census Area, Alaska",02290,48036.000000000,"2,395"
"Russell County, Virginia",51167,48040.000000000,"2,394"
"Hot Spring County, Arkansas",05059,48068.000000000,"2,393"
"Coos County, Oregon",41011,48080.000000000,"2,392"
"Putnam County, Tennessee",47141,48106.000000000,"2,391"
"Caswell County, North Carolina",37033,48125.000000000,"2,390"
"Marion County, Florida",12083,48128.000000000,"2,389"
"Grant County, West Virginia",54023,48133.000000000,"2,388"
"Gem County, Idaho",16045,48138.000000000,"2,385"
"Marshall County, Alabama",01095,48138.000000000,"2,385"
"Wilson County, North Carolina",37195,48138.000000000,"2,385"
"Pierce County, Georgia",13229,48180.000000000,"2,384"
"Wise County, Virginia",51195,48187.000000000,"2,383"
"Cullman County, Alabama",01043,48200.000000000,"2,382"
"Grant County, Nebraska",31075,48214.000000000,"2,381"
"Bollinger County, Missouri",29017,48266.000000000,"2,380"
"Nome Census Area, Alaska",02180,48273.000000000,"2,379"
"Crawford County, Arkansas",05033,48279.000000000,"2,378"
"Orange County, Indiana",18117,48281.000000000,"2,377"
"Greenbrier County, West Virginia",54025,48287.000000000,"2,376"
"Greene County, North Carolina",37079,48294.000000000,"2,375"
"Jerome County, Idaho",16053,48336.000000000,"2,374"
"Jefferson County, Arkansas",05069,48337.000000000,"2,373"
"Missaukee County, Michigan",26113,48372.000000000,"2,372"
"Morris County, Texas",48343,48378.000000000,"2,371"
"Switzerland County, Indiana",18155,48384.000000000,"2,370"
"Lowndes County, Georgia",13185,48391.000000000,"2,369"
"Swisher County, Texas",48437,48413.000000000,"2,368"
"Elk County, Kansas",20049,48424.000000000,"2,367"
"Gallia County, Ohio",39053,48426.000000000,"2,366"
"Grant County, New Mexico",35017,48428.000000000,"2,365"
"Palo Pinto County, Texas",48363,48445.000000000,"2,364"
"Muhlenberg County, Kentucky",21177,48522.000000000,"2,363"
"Harrison County, Kentucky",21097,48526.000000000,"2,362"
"Union County, Kentucky",21225,48538.000000000,"2,361"
"Bacon County, Georgia",13005,48555.000000000,"2,360"
"Okanogan County, Washington",53047,48567.000000000,"2,359"
"Floyd County, Texas",48153,48569.000000000,"2,358"
"Klamath County, Oregon",41035,48570.000000000,"2,357"
"Chouteau County, Montana",30015,48583.000000000,"2,356"
"Meagher County, Montana",30059,48607.000000000,"2,354"
"St. Francois County, Missouri",29187,48607.000000000,"2,354"
"Conejos County, Colorado",08021,48616.000000000,"2,353"
"Franklin County, Florida",12037,48621.000000000,"2,352"
"Crawford County, Georgia",13079,48632.000000000,"2,351"
"Vernon County, Missouri",29217,48655.000000000,"2,350"
"Hickman County, Kentucky",21105,48661.000000000,"2,349"
"Tehama County, California",06103,48662.000000000,"2,348"
"Polk County, Georgia",13233,48680.000000000,"2,347"
"Wayne County, Georgia",13305,48706.000000000,"2,346"
"Lanier County, Georgia",13173,48713.000000000,"2,345"
"Wetzel County, West Virginia",54103,48724.000000000,"2,344"
"Butte County, Idaho",16023,48750.000000000,"2,341"
"DeBaca County, New Mexico",35011,48750.000000000,"2,341"
"Prairie County, Montana",30079,48750.000000000,"2,341"
"Cleburne County, Alabama",01029,48761.000000000,"2,340"
"Saline County, Missouri",29195,48778.000000000,"2,339"
"Hernando County, Florida",12053,48785.000000000,"2,338"
"Nicholas County, West Virginia",54067,48821.000000000,"2,337"
"Cloud County, Kansas",20029,48841.000000000,"2,336"
"Barry County, Missouri",29009,48854.000000000,"2,335"
"Gilmer County, Georgia",13123,48856.000000000,"2,333"
"Gooding County, Idaho",16047,48856.000000000,"2,333"
"Gallatin County, Illinois",17059,48868.000000000,"2,332"
"Spalding County, Georgia",13255,48886.000000000,"2,331"
"Malheur County, Oregon",41045,48890.000000000,"2,330"
"Baldwin County, Georgia",13009,48893.000000000,"2,329"
"Coal County, Oklahoma",40029,48899.000000000,"2,328"
"Alamosa County, Colorado",08003,48905.000000000,"2,327"
"McCormick County, South Carolina",45065,48924.000000000,"2,326"
"Terrell County, Texas",48443,48929.000000000,"2,325"
"Okmulgee County, Oklahoma",40111,48942.000000000,"2,324"
"Val Verde County, Texas",48465,48944.000000000,"2,323"
"Tazewell County, Virginia",51185,48963.000000000,"2,322"
"Fremont County, Colorado",08043,48972.000000000,"2,321"
"St. Mary Parish, Louisiana",22101,48992.000000000,"2,320"
"Oneida County, Idaho",16071,48995.000000000,"2,319"
"Perquimans County, North Carolina",37143,49000.000000000,"2,318"
"Wayne County, Indiana",18177,49006.000000000,"2,317"
"Wilson County, Kansas",20205,49007.000000000,"2,316"
"Schley County, Georgia",13249,49010.000000000,"2,315"
"Greenwood County, South Carolina",45047,49015.000000000,"2,313"
"Powell County, Kentucky",21197,49015.000000000,"2,313"
"Oceana County, Michigan",26127,49019.000000000,"2,312"
"Nye County, Nevada",32023,49046.000000000,"2,311"
"Conway County, Arkansas",05029,49061.000000000,"2,310"
"Canyon County, Idaho",16027,49075.000000000,"2,309"
"Falls County, Texas",48145,49092.000000000,"2,308"
"Marion County, Tennessee",47115,49097.000000000,"2,307"
"Pope County, Arkansas",05115,49106.000000000,"2,306"
"Cleveland County, North Carolina",37045,49111.000000000,"2,305"
"Trinity County, California",06105,49118.000000000,"2,304"
"Union County, Arkansas",05139,49132.000000000,"2,303"
"Lawrence County, Alabama",01079,49135.000000000,"2,302"
"Grant County, Indiana",18053,49160.000000000,"2,301"
"Curry County, Oregon",41015,49170.000000000,"2,300"
"Stoddard County, Missouri",29207,49185.000000000,"2,299"
"Titus County, Texas",48449,49186.000000000,"2,298"
"Halifax County with South Boston City, Virginia",51083,49191.000000000,"2,297"
"Jackson County, Ohio",39079,49197.000000000,"2,296"
"Tillamook County, Oregon",41057,49214.000000000,"2,295"
"Fayette County, Ohio",39047,49222.000000000,"2,294"
"Mecklenburg County, Virginia",51117,49223.000000000,"2,293"
"Bryan County, Oklahoma",40013,49229.000000000,"2,292"
"Kiowa County, Oklahoma",40075,49233.000000000,"2,291"
"Wexford County, Michigan",26165,49258.000000000,"2,290"
"Miami-Dade County, Florida",12086,49264.000000000,"2,289"
"Mifflin County, Pennsylvania",42087,49271.000000000,"2,288"
"Madera County, California",06039,49272.000000000,"2,287"
"Bibb County, Georgia",13021,49275.000000000,"2,286"
"Pershing County, Nevada",32027,49309.000000000,"2,285"
"Scotland County, Missouri",29199,49323.000000000,"2,284"
"Grand County, Utah",49019,49339.000000000,"2,283"
"Edmonson County, Kentucky",21061,49349.000000000,"2,282"
"Mahnomen County, Minnesota",27087,49375.000000000,"2,281"
"Angelina County, Texas",48005,49384.000000000,"2,280"
"Glascock County, Georgia",13125,49406.000000000,"2,279"
"Tallapoosa County, Alabama",01123,49427.000000000,"2,278"
"Montcalm County, Michigan",26117,49442.000000000,"2,277"
"Harrison County, Missouri",29081,49449.000000000,"2,276"
"Macon County, Missouri",29121,49453.000000000,"2,274"
"Presque Isle County, Michigan",26141,49453.000000000,"2,274"
"Habersham County, Georgia",13137,49454.000000000,"2,273"
"Lincoln County, New Mexico",35027,49461.000000000,"2,272"
"Lamar County, Georgia",13171,49467.000000000,"2,271"
"Lincoln County, Idaho",16063,49482.000000000,"2,270"
"Lafayette County, Florida",12067,49495.000000000,"2,269"
"Mitchell County, North Carolina",37121,49502.000000000,"2,268"
"Randolph County, West Virginia",54083,49520.000000000,"2,267"
"Hamilton County, Kansas",20075,49524.000000000,"2,266"
"Simpson County, Kentucky",21213,49527.000000000,"2,265"
"Phillips County, Montana",30071,49535.000000000,"2,264"
"Valencia County, New Mexico",35061,49579.000000000,"2,263"
"Alexander County, North Carolina",37003,49582.000000000,"2,262"
"Jewell County, Kansas",20089,49597.000000000,"2,261"
"Runnels County, Texas",48399,49611.000000000,"2,260"
"Curry County, New Mexico",35009,49615.000000000,"2,259"
"Gogebic County, Michigan",26053,49677.000000000,"2,258"
"Muskogee County, Oklahoma",40101,49682.000000000,"2,257"
"Jackson County, Oklahoma",40065,49684.000000000,"2,256"
"Garland County, Arkansas",05051,49707.000000000,"2,255"
"Adams County, Washington",53001,49723.000000000,"2,253"
"Chaves County, New Mexico",35005,49723.000000000,"2,253"
"Vilas County, Wisconsin",55125,49724.000000000,"2,252"
"Sussex County, Virginia",51183,49730.000000000,"2,251"
"Giles County, Tennessee",47055,49734.000000000,"2,250"
"Kings County, California",06031,49735.000000000,"2,249"
"McMinn County, Tennessee",47107,49737.000000000,"2,248"
"Polk County, Missouri",29167,49755.000000000,"2,247"
"Coffee County, Tennessee",47031,49779.000000000,"2,246"
"Carlisle County, Kentucky",21039,49787.000000000,"2,245"
"Wibaux County, Montana",30109,49800.000000000,"2,244"
"Accomack County, Virginia",51001,49807.000000000,"2,243"
"Grant County, Kentucky",21081,49858.000000000,"2,242"
"Raleigh County, West Virginia",54081,49881.000000000,"2,241"
"Sawyer County, Wisconsin",55113,49886.000000000,"2,240"
"Bethel Census Area, Alaska",02050,49889.000000000,"2,239"
"Yakima County, Washington",53077,49907.000000000,"2,238"
"Gulf County, Florida",12045,49921.000000000,"2,237"
"Coshocton County, Ohio",39031,49925.000000000,"2,236"
"Latimer County, Oklahoma",40077,49942.000000000,"2,235"
"Ritchie County, West Virginia",54085,49943.000000000,"2,234"
"Orleans Parish, Louisiana",22071,49948.000000000,"2,232"
"Powell County, Montana",30077,49948.000000000,"2,232"
"Montgomery County, Missouri",29139,49955.000000000,"2,231"
"Sumter County, South Carolina",45085,49962.000000000,"2,230"
"Fresno County, California",06019,49999.000000000,"2,229"
"Hardeman County, Texas",48197,50000.000000000,"2,227"
"Rio Grande County, Colorado",08105,50000.000000000,"2,227"
"Upshur County, West Virginia",54097,50007.000000000,"2,226"
"Harrison County, Mississippi",28047,50012.000000000,"2,225"
"Northampton County, Virginia",51131,50015.000000000,"2,224"
"Perry County, Ohio",39127,50017.000000000,"2,223"
"Perry County, Arkansas",05105,50030.000000000,"2,222"
"Lowndes County, Mississippi",28087,50033.000000000,"2,221"
"Pend Oreille County, Washington",53051,50036.000000000,"2,220"
"Montgomery County, Kansas",20125,50042.000000000,"2,219"
"Todd County, Kentucky",21219,50059.000000000,"2,218"
"Webster County, Kentucky",21233,50065.000000000,"2,217"
"La Salle Parish, Louisiana",22059,50072.000000000,"2,215"
"Starke County, Indiana",18149,50072.000000000,"2,215"
"Stone County, Mississippi",28131,50074.000000000,"2,214"
"Grant Parish, Louisiana",22043,50077.000000000,"2,213"
"Mineral County, West Virginia",54057,50078.000000000,"2,212"
"Grundy County, Missouri",29079,50086.000000000,"2,211"
"Jefferson County, Oregon",41031,50141.000000000,"2,210"
"Navarro County, Texas",48349,50148.000000000,"2,209"
"Woodson County, Kansas",20207,50162.000000000,"2,208"
"Randolph County, Indiana",18135,50180.000000000,"2,207"
"Pettis County, Missouri",29159,50183.000000000,"2,206"
"Pittsylvania County, Virginia",51143,50187.000000000,"2,205"
"Lewis County, Idaho",16061,50203.000000000,"2,204"
"Columbia County, Washington",53013,50205.000000000,"2,203"
"Troup County, Georgia",13285,50220.000000000,"2,202"
"Seward County, Kansas",20175,50234.000000000,"2,201"
"Crenshaw County, Alabama",01041,50235.000000000,"2,200"
"Douglas County, Oregon",41019,50241.000000000,"2,199"
"Aroostook County, Maine",23003,50246.000000000,"2,198"
"Union County, New Mexico",35059,50250.000000000,"2,197"
"San Juan County, Utah",49037,50257.000000000,"2,196"
"Clarke County, Georgia",13059,50259.000000000,"2,195"
"Carroll County, Mississippi",28015,50276.000000000,"2,194"
"Knox County, Missouri",29103,50299.000000000,"2,193"
"Union County, Georgia",13291,50303.000000000,"2,192"
"Richmond City, Virginia",51760,50307.000000000,"2,191"
"Parke County, Indiana",18121,50326.000000000,"2,190"
"Burke County, North Carolina",37023,50332.000000000,"2,189"
"Matagorda County, Texas",48321,50335.000000000,"2,188"
"Sebastian County, Arkansas",05131,50344.000000000,"2,187"
"Stokes County, North Carolina",37169,50355.000000000,"2,186"
"Allen County, Kansas",20001,50368.000000000,"2,185"
"Chariton County, Missouri",29041,50369.000000000,"2,183"
"Daviess County, Missouri",29061,50369.000000000,"2,183"
"Bleckley County, Georgia",13023,50376.000000000,"2,182"
"Kinney County, Texas",48271,50379.000000000,"2,181"
"Pacific County, Washington",53049,50391.000000000,"2,180"
"Polk County, Texas",48373,50396.000000000,"2,179"
"Donley County, Texas",48129,50400.000000000,"2,178"
"Randolph County, Missouri",29175,50403.000000000,"2,177"
"Cleveland County, Arkansas",05025,50407.000000000,"2,175"
